Incidente;Grupo;Estado
IM02009151;APLF_COR_GO_MOROSIDAD;Categorize
IM02012936;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013366;ADMF_COR_SIEBEL;Work In Progress
IM02013953;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013459;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013443;APLF_COR_CATALOGO_E2E;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013542;APLF_COR_CATALOGO_E2E;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02011775;ADMF_COR_CMS;Categorize
IM02013973;APLF_COR_CATALOGO_E2E;Work In Progress
IM02011172;APLF_COR_GO_CRM;Work In Progress
IM02014012;ADMF_COR_SIEBEL;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02012908;ADMF_COR_SIEBEL;Work In Progress
IM02013575;ADMF_COR_SIEBEL;Work In Progress
IM02014042;APLF_COR_CENTRAL_PARQ;Work In Progress
IM02014076;APLF_COR_GO_CRM;Work In Progress
IM02013296;APLF_COR_GO_CRM;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013013;ADMF_COR_SIEBEL;Work In Progress
IM02012990;APLF_COR_GO_CRM;Work In Progress
IM02013063;USERF_COR_SIEBEL_CC;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013409;ADMF_COR_SIEBEL;Work In Progress
IM02013378;ADMF_COR_SIEBEL;Work In Progress
IM02013374;ADMF_COR_SIEBEL;Work In Progress
IM02013403;ADMF_COR_SIEBEL;Work In Progress
IM02013984;ADMF_COR_SIEBEL;Work In Progress
IM02014089;ADMF_COR_SIEBEL;Work In Progress
IM02000882;APLF_COR_GO_VTA_ADSL;Categorize
IM02001129;APLF_COR_GO_CRM;Work In Progress
IM02000750;APLF_COR_CATALOGO_E2E;Categorize
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02006119;APLF_COR_GO_CRM;Work In Progress
IM02007817;APLF_COR_GO_CRM;Rejected
IM02010201;APLF_COR_VENTAS;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02010828;ADMF_COR_CMS;Categorize
IM02009151;APLF_COR_GO_MOROSIDAD;Categorize
IM02012936;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013366;ADMF_COR_SIEBEL;Work In Progress
IM02013953;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013459;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013443;APLF_COR_CATALOGO_E2E;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013542;APLF_COR_CATALOGO_E2E;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02011775;ADMF_COR_CMS;Categorize
IM02013973;APLF_COR_CATALOGO_E2E;Work In Progress
IM02011172;APLF_COR_GO_CRM;Work In Progress
IM02014012;ADMF_COR_SIEBEL;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02012908;ADMF_COR_SIEBEL;Work In Progress
IM02013575;ADMF_COR_SIEBEL;Work In Progress
IM02014042;APLF_COR_CENTRAL_PARQ;Work In Progress
IM02014076;APLF_COR_GO_CRM;Work In Progress
IM02013296;APLF_COR_GO_CRM;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013013;ADMF_COR_SIEBEL;Work In Progress
IM02012990;APLF_COR_GO_CRM;Work In Progress
IM02013063;USERF_COR_SIEBEL_CC;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013409;ADMF_COR_SIEBEL;Work In Progress
IM02013378;ADMF_COR_SIEBEL;Work In Progress
IM02013374;ADMF_COR_SIEBEL;Work In Progress
IM02013403;ADMF_COR_SIEBEL;Work In Progress
IM02013984;ADMF_COR_SIEBEL;Work In Progress
IM02014302;ADMF_COR_CMS;Categorize
IM02014309;ADMF_COR_CMS;Categorize
IM02014089;ADMF_COR_SIEBEL;Work In Progress
IM02014335;APLF_COR_GO_CRM;Categorize
IM02014334;APLF_COR_GO_CRM;Categorize
IM02014325;APLF_COR_GO_CRM;Categorize
IM02014321;APLF_COR_GO_CRM;Categorize
IM02014332;APLF_COR_GO_CRM;Categorize
IM02000882;APLF_COR_GO_VTA_ADSL;Categorize
IM02001129;APLF_COR_GO_CRM;Work In Progress
IM02000750;APLF_COR_CATALOGO_E2E;Categorize
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02006119;APLF_COR_GO_CRM;Work In Progress
IM02007817;APLF_COR_GO_CRM;Rejected
IM02010201;APLF_COR_VENTAS;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02010828;ADMF_COR_CMS;Categorize
IM02009151;APLF_COR_GO_MOROSIDAD;Categorize
IM02012936;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013366;ADMF_COR_SIEBEL;Work In Progress
IM02013953;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013459;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013443;APLF_COR_CATALOGO_E2E;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013542;APLF_COR_CATALOGO_E2E;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02011775;ADMF_COR_CMS;Categorize
IM02013973;APLF_COR_CATALOGO_E2E;Work In Progress
IM02011172;APLF_COR_GO_CRM;Work In Progress
IM02014012;ADMF_COR_SIEBEL;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02012908;ADMF_COR_SIEBEL;Work In Progress
IM02013575;ADMF_COR_SIEBEL;Work In Progress
IM02014042;APLF_COR_CENTRAL_PARQ;Work In Progress
IM02014076;APLF_COR_GO_CRM;Work In Progress
IM02013296;APLF_COR_GO_CRM;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013013;ADMF_COR_SIEBEL;Work In Progress
IM02012990;APLF_COR_GO_CRM;Work In Progress
IM02013063;USERF_COR_SIEBEL_CC;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013409;ADMF_COR_SIEBEL;Work In Progress
IM02013378;ADMF_COR_SIEBEL;Work In Progress
IM02013374;ADMF_COR_SIEBEL;Work In Progress
IM02013403;ADMF_COR_SIEBEL;Work In Progress
IM02013984;ADMF_COR_SIEBEL;Work In Progress
IM02014302;ADMF_COR_CMS;Categorize
IM02014309;ADMF_COR_CMS;Categorize
IM02014089;ADMF_COR_SIEBEL;Work In Progress
IM02014335;APLF_COR_GO_CRM;Categorize
IM02014334;APLF_COR_GO_CRM;Categorize
IM02014325;APLF_COR_GO_CRM;Categorize
IM02014321;APLF_COR_GO_CRM;Categorize
IM02014332;APLF_COR_GO_CRM;Categorize
IM02000882;APLF_COR_GO_VTA_ADSL;Categorize
IM02001129;APLF_COR_GO_CRM;Work In Progress
IM02000750;APLF_COR_CATALOGO_E2E;Categorize
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02006119;APLF_COR_GO_CRM;Work In Progress
IM02007817;APLF_COR_GO_CRM;Rejected
IM02010201;APLF_COR_VENTAS;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02010828;ADMF_COR_CMS;Categorize
IM02009151;APLF_COR_GO_MOROSIDAD;Categorize
IM02012936;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013366;ADMF_COR_SIEBEL;Work In Progress
IM02013953;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013459;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013443;APLF_COR_CATALOGO_E2E;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013542;APLF_COR_CATALOGO_E2E;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02011775;ADMF_COR_CMS;Categorize
IM02013973;APLF_COR_CATALOGO_E2E;Work In Progress
IM02011172;APLF_COR_GO_CRM;Work In Progress
IM02014012;ADMF_COR_SIEBEL;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02012908;ADMF_COR_SIEBEL;Work In Progress
IM02013575;ADMF_COR_SIEBEL;Work In Progress
IM02014042;APLF_COR_CENTRAL_PARQ;Work In Progress
IM02014076;APLF_COR_GO_CRM;Work In Progress
IM02013296;APLF_COR_GO_CRM;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013013;ADMF_COR_SIEBEL;Work In Progress
IM02012990;APLF_COR_GO_CRM;Work In Progress
IM02013063;USERF_COR_SIEBEL_CC;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013409;ADMF_COR_SIEBEL;Work In Progress
IM02013378;ADMF_COR_SIEBEL;Work In Progress
IM02013374;ADMF_COR_SIEBEL;Work In Progress
IM02013403;ADMF_COR_SIEBEL;Work In Progress
IM02013984;ADMF_COR_SIEBEL;Work In Progress
IM02014302;ADMF_COR_CMS;Categorize
IM02014309;ADMF_COR_CMS;Categorize
IM02014089;ADMF_COR_SIEBEL;Work In Progress
IM02014335;APLF_COR_GO_CRM;Categorize
IM02014334;APLF_COR_GO_CRM;Categorize
IM02014325;APLF_COR_GO_CRM;Categorize
IM02014321;APLF_COR_GO_CRM;Categorize
IM02014332;APLF_COR_GO_CRM;Categorize
IM02000882;APLF_COR_GO_VTA_ADSL;Categorize
IM02001129;APLF_COR_GO_CRM;Work In Progress
IM02000750;APLF_COR_CATALOGO_E2E;Categorize
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02006119;APLF_COR_GO_CRM;Work In Progress
IM02007817;APLF_COR_GO_CRM;Rejected
IM02010201;APLF_COR_VENTAS;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02010828;ADMF_COR_CMS;Categorize
IM02009151;APLF_COR_GO_MOROSIDAD;Categorize
IM02012936;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013366;ADMF_COR_SIEBEL;Work In Progress
IM02013953;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013459;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013443;APLF_COR_CATALOGO_E2E;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013542;APLF_COR_CATALOGO_E2E;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02011775;ADMF_COR_CMS;Categorize
IM02013973;APLF_COR_CATALOGO_E2E;Work In Progress
IM02011172;APLF_COR_GO_CRM;Work In Progress
IM02014012;ADMF_COR_SIEBEL;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02012908;ADMF_COR_SIEBEL;Work In Progress
IM02013575;ADMF_COR_SIEBEL;Work In Progress
IM02014042;APLF_COR_CENTRAL_PARQ;Work In Progress
IM02014076;APLF_COR_GO_CRM;Work In Progress
IM02013296;APLF_COR_GO_CRM;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013013;ADMF_COR_SIEBEL;Work In Progress
IM02012990;APLF_COR_GO_CRM;Work In Progress
IM02013063;USERF_COR_SIEBEL_CC;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013409;ADMF_COR_SIEBEL;Work In Progress
IM02013378;ADMF_COR_SIEBEL;Work In Progress
IM02013374;ADMF_COR_SIEBEL;Work In Progress
IM02013403;ADMF_COR_SIEBEL;Work In Progress
IM02013984;ADMF_COR_SIEBEL;Work In Progress
IM02014302;ADMF_COR_CMS;Categorize
IM02014309;ADMF_COR_CMS;Categorize
IM02014089;ADMF_COR_SIEBEL;Work In Progress
IM02014335;APLF_COR_GO_CRM;Categorize
IM02014334;APLF_COR_GO_CRM;Categorize
IM02014325;APLF_COR_GO_CRM;Categorize
IM02014321;APLF_COR_GO_CRM;Categorize
IM02014332;APLF_COR_GO_CRM;Categorize
IM02000882;APLF_COR_GO_VTA_ADSL;Categorize
IM02001129;APLF_COR_GO_CRM;Work In Progress
IM02000750;APLF_COR_CATALOGO_E2E;Categorize
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02006119;APLF_COR_GO_CRM;Work In Progress
IM02007817;APLF_COR_GO_CRM;Rejected
IM02010201;APLF_COR_VENTAS;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02010828;ADMF_COR_CMS;Categorize
IM02009151;APLF_COR_GO_MOROSIDAD;Categorize
IM02012936;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013366;ADMF_COR_SIEBEL;Work In Progress
IM02013953;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013459;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013443;APLF_COR_CATALOGO_E2E;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013542;APLF_COR_CATALOGO_E2E;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02011775;ADMF_COR_CMS;Categorize
IM02013973;APLF_COR_CATALOGO_E2E;Work In Progress
IM02011172;APLF_COR_GO_CRM;Work In Progress
IM02014012;ADMF_COR_SIEBEL;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02012908;ADMF_COR_SIEBEL;Work In Progress
IM02013575;ADMF_COR_SIEBEL;Work In Progress
IM02014042;APLF_COR_CENTRAL_PARQ;Work In Progress
IM02014076;APLF_COR_GO_CRM;Work In Progress
IM02013296;APLF_COR_GO_CRM;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013013;ADMF_COR_SIEBEL;Work In Progress
IM02012990;APLF_COR_GO_CRM;Work In Progress
IM02013063;USERF_COR_SIEBEL_CC;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013409;ADMF_COR_SIEBEL;Work In Progress
IM02013378;ADMF_COR_SIEBEL;Work In Progress
IM02013374;ADMF_COR_SIEBEL;Work In Progress
IM02013403;ADMF_COR_SIEBEL;Work In Progress
IM02013984;ADMF_COR_SIEBEL;Work In Progress
IM02014302;ADMF_COR_CMS;Categorize
IM02014309;ADMF_COR_CMS;Categorize
IM02014089;ADMF_COR_SIEBEL;Work In Progress
IM02014335;APLF_COR_GO_CRM;Categorize
IM02014334;APLF_COR_GO_CRM;Categorize
IM02014325;APLF_COR_GO_CRM;Categorize
IM02014321;APLF_COR_GO_CRM;Categorize
IM02014332;APLF_COR_GO_CRM;Categorize
IM02000882;APLF_COR_GO_VTA_ADSL;Categorize
IM02001129;APLF_COR_GO_CRM;Work In Progress
IM02000750;APLF_COR_CATALOGO_E2E;Categorize
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02006119;APLF_COR_GO_CRM;Work In Progress
IM02007817;APLF_COR_GO_CRM;Rejected
IM02010201;APLF_COR_VENTAS;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02012273;APLF_COR_GO_WOM;Categorize
IM02010828;ADMF_COR_CMS;Categorize
IM02009151;APLF_COR_GO_MOROSIDAD;Categorize
IM02012936;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013366;ADMF_COR_SIEBEL;Work In Progress
IM02013953;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013459;APLF_COR_CATALOGO_E2E;Work In Progress
IM02013443;APLF_COR_CATALOGO_E2E;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013542;APLF_COR_CATALOGO_E2E;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02011775;ADMF_COR_CMS;Categorize
IM02013973;APLF_COR_CATALOGO_E2E;Work In Progress
IM02011172;APLF_COR_GO_CRM;Work In Progress
IM02014012;ADMF_COR_SIEBEL;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02012908;ADMF_COR_SIEBEL;Work In Progress
IM02013575;ADMF_COR_SIEBEL;Work In Progress
IM02014042;APLF_COR_CENTRAL_PARQ;Work In Progress
IM02014076;APLF_COR_GO_CRM;Work In Progress
IM02013296;APLF_COR_GO_CRM;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013013;ADMF_COR_SIEBEL;Work In Progress
IM02012990;APLF_COR_GO_CRM;Work In Progress
IM02013063;USERF_COR_SIEBEL_CC;Categorize
IM02014054;APLF_COR_GO_CRM;Work In Progress
IM02013409;ADMF_COR_SIEBEL;Work In Progress
IM02013378;ADMF_COR_SIEBEL;Work In Progress
IM02013374;ADMF_COR_SIEBEL;Work In Progress
IM02013403;ADMF_COR_SIEBEL;Work In Progress
IM02013984;ADMF_COR_SIEBEL;Work In Progress
IM02014302;ADMF_COR_CMS;Categorize
IM02014309;ADMF_COR_CMS;Categorize
IM02014089;ADMF_COR_SIEBEL;Work In Progress
IM02014335;APLF_COR_GO_CRM;Categorize
IM02014334;APLF_COR_GO_CRM;Categorize
IM02014325;APLF_COR_GO_CRM;Categorize
IM02014321;APLF_COR_GO_CRM;Categorize
IM02014332;APLF_COR_GO_CRM;Categorize
IM02000882;APLF_COR_GO_VTA_ADSL;Categorize
IM02001129;APLF_COR_GO_CRM;Work In Progress
IM02000750;APLF_COR_CATALOGO_E2E;Categorize
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02003107;APLF_COR_CMS;Pending Other
IM02006119;APLF_COR_GO_CRM;Work In Progress
IM02007817;APLF_COR_GO_CRM;Rejected
